epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4682,2.5443,2.79753,1.16689,0.46829,0.42161,0.38971,0.17768,2.15269,1.96146,1.07869,0.00021,0.00021,0.00021
2,105.525,2.39116,2.53415,1.12017,0.55349,0.48986,0.48867,0.20654,2.12002,1.93202,1.06485,0.000344009,0.000344009,0.000344009
3,128.403,2.32834,2.3512,1.10616,0.69386,0.50841,0.55672,0.2372,2.13026,1.82967,1.05183,0.000390026,0.000390026,0.000390026
4,155.116,2.34906,2.26276,1.10253,0.70299,0.5512,0.60908,0.24671,2.09168,1.69154,1.04609,0.000348052,0.000348052,0.000348052
5,181.105,2.28597,2.12939,1.07568,0.71111,0.59549,0.64956,0.27308,2.01181,1.53131,1.02334,0.00020008,0.00020008,0.00020008
