epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2295,4.23033,27.4144,2.25642,8e-05,0.00685,4e-05,1e-05,3.28312,189.632,1.58597,0.00021,0.00021,0.00021
2,51.4527,3.4969,6.21977,1.54092,0.33497,0.06374,0.00102,0.00045,2.79855,23.4759,1.24827,0.000344009,0.000344009,0.000344009
3,74.4784,2.9542,4.1006,1.29305,0.45662,0.19571,0.18584,0.08013,2.44344,3.02451,1.16826,0.000390026,0.000390026,0.000390026
4,94.1561,2.79952,3.3851,1.23863,0.32405,0.34713,0.26264,0.1135,2.30297,2.50664,1.12328,0.000348052,0.000348052,0.000348052
5,117.046,2.67941,3.03689,1.1849,0.41272,0.38479,0.34331,0.1454,2.2143,2.09807,1.09692,0.00020008,0.00020008,0.00020008
